Mun_Code,Mun_Name,landslide_per,stormsurge_per,Bu_p_inSSA,Bu_p_LS,Red_per_LSbldg,Or_per_LSblg,Yel_per_LSSAb,RED_per_SSAbldg,OR_per_SSAbldg,Yellow_per_LSbl
PH037106000,MASINLOC,3.28,12.28,12.2,3.28,0.24,0,3.04,12.26,0,0.02
PH037107000,OLONGAPO CITY,2.58,20.57,20.5,2.58,0.64,0.03,1.92,20.41,0.13,0.03
PH037108000,PALAUIG,1.09,31.81,31.8,1.09,0.12,0,0.97,31.81,0,0
PH037109000,SAN ANTONIO,2.03,4.52,4.52,2.03,0.08,0,1.95,4.44,0.06,0.02
PH037110000,SAN FELIPE,2.14,25.94,25.9,2.14,0.15,0,1.99,23.74,2.2,0
PH037111000,SAN MARCELINO,1.11,0.03,0.03,1.11,1,0,0.1,0,0,0.03
PH037112000,SAN NARCISO,3.56,10,10,3.56,0.04,0,3.51,9.51,0.49,0
PH037113000,SANTA CRUZ,1.85,16.84,16.8,1.85,0.14,0.03,1.68,16.78,0.04,0.01
PH037114000,SUBIC,2.91,15.46,15.4,2.91,0.25,0,2.65,15.39,0.02,0.04
PH037701000,BALER (Capital),3.88,14.58,14.5,3.88,0.21,0,3.67,14.49,0.09,0
PH037702000,CASIGURAN,3.02,12.37,12.3,3.02,0.04,0,2.98,12.37,0,0
PH037703000,DILASAG,1.67,8.03,8.03,1.67,0,0,1.67,8.03,0,0
PH037704000,DINALUNGAN,3.71,6.51,6.51,3.71,0,0,3.71,6.51,0,0
PH037705000,DINGALAN,3.91,0.11,0.11,3.91,0.23,0,3.68,0.11,0,0
PH037706000,DIPACULAO,5.6,0.52,0.52,5.6,0,0,5.6,0.36,0.16,0
PH037707000,MARIA AURORA,0.03,0,0,0.03,0.03,0,0,0,0,0
PH037708000,SAN LUIS,2.56,0.17,0.17,2.56,1.19,0,1.36,0.17,0,0
PH041001000,AGONCILLO,0.44,0.02,0.02,0.44,0,0,0.44,0,0,0.02
PH041002000,ALITAGTAG,0,0,0,0,0,0,0,0,0,0
PH041003000,BALAYAN,1.32,10.1,10.1,1.32,0.01,0,1.31,10.07,0,0.03
PH041004000,BALETE,0,0,0,0,0,0,0,0,0,0
PH041005000,BATANGAS CITY (Capital),0,0,0,0,0,0,0,0,0,0
PH041006000,BAUAN,0,0,0,0,0,0,0,0,0,0
PH041007000,CALACA,1.24,0.23,0.23,1.24,0,0,1.24,0.22,0,0.01
PH041008000,CALATAGAN,0.71,0.04,0.04,0.71,0,0,0.71,0.04,0,0
PH041009000,CUENCA,1.38,0.03,0.03,1.38,1.38,0,0,0,0,0.03
PH041010000,IBAAN,0,0,0,0,0,0,0,0,0,0
PH041011000,LAUREL,0.2,0.02,0.02,0.2,0.2,0,0,0,0,0.02
PH041012000,LEMERY,1.96,0.22,0.22,1.96,0,0,1.96,0.2,0,0.02
PH041013000,LIAN,3.22,1.48,1.48,3.22,0,0,3.22,1.45,0.02,0
PH041014000,LIPA CITY,0,0,0,0,0,0,0,0,0,0
PH041015000,LOBO,1.87,0,0,1.87,0,0,1.87,0,0,0
PH041016000,MABINI,0,0,0,0,0,0,0,0,0,0
PH041017000,MALVAR,0,0,0,0,0,0,0,0,0,0
PH041018000,MATAASNAKAHOY,0,0,0,0,0,0,0,0,0,0
PH041019000,NASUGBU,1.72,13.08,13,1.72,0.08,0,1.64,13.07,0.01,0
PH041020000,PADRE GARCIA,0,0,0,0,0,0,0,0,0,0
PH041021000,ROSARIO,0,0,0,0,0,0,0,0,0,0
PH041022000,SAN JOSE,0,0,0,0,0,0,0,0,0,0
PH041023000,SAN JUAN,0.33,0.11,0.11,0.33,0,0,0.33,0.11,0,0
PH041024000,SAN LUIS,0,0,0,0,0,0,0,0,0,0
PH041025000,SAN NICOLAS,0,0,0,0,0,0,0,0,0,0
PH041026000,SAN PASCUAL,0,0,0,0,0,0,0,0,0,0
PH041027000,SANTA TERESITA,0,0,0,0,0,0,0,0,0,0
PH041028000,SANTO TOMAS,0,0,0,0,0,0,0,0,0,0
PH041029000,TAAL,0.37,0.02,0.02,0.37,0,0,0.37,0.02,0,0
PH041030000,TALISAY,0.38,0,0,0.38,0.38,0,0,0,0,0
PH041031000,CITY OF TANAUAN,0,0,0,0,0,0,0,0,0,0
PH041032000,TAYSAN,0,0,0,0,0,0,0,0,0,0
PH041033000,TINGLOY,0,0,0,0,0,0,0,0,0,0
PH041034000,TUY,0,0,0,0,0,0,0,0,0,0
PH042101000,ALFONSO,0,0.02,0.02,0,0,0,0,0,0,0.02
PH042102000,AMADEO,0,0,0,0,0,0,0,0,0,0
PH042103000,BACOOR CITY,1.27,0.31,0.31,1.27,0,0,1.27,0.29,0.02,0
PH042104000,CARMONA,0,0,0,0,0,0,0,0,0,0
PH042105000,CAVITE CITY,0.37,0.1,0.1,0.37,0,0,0.37,0.1,0,0
PH042106000,CITY OF DASMARIÃ‘AS,0,0.01,0.01,0,0,0,0,0,0,0.01
PH042107000,GENERAL EMILIO AGUINALDO,0,0,0,0,0,0,0,0,0,0
PH042108000,CITY OF GENERAL TRIAS,0.16,0,0,0.16,0,0,0.16,0,0,0
PH042109000,IMUS CITY,0.2,0.78,0.78,0.2,0,0,0.2,0.75,0.03,0
PH042110000,INDANG,0,0.04,0.04,0,0,0,0,0,0,0.04
PH042111000,KAWIT,1.74,27.56,27.5,1.74,0,0,1.74,27.56,0,0
PH042112000,MAGALLANES,0,0,0,0,0,0,0,0,0,0
PH042113000,MARAGONDON,1.44,0.04,0.04,1.44,0.11,0,1.33,0.04,0,0
PH042114000,MENDEZ (MENDEZ-NUÃ‘EZ),0,0,0,0,0,0,0,0,0,0
PH042115000,NAIC,2.05,6.45,6.45,2.05,0,0,2.05,6.43,0,0.02
PH042116000,NOVELETA,3.04,30.18,30.1,3.04,0,0,3.04,30.15,0.03,0
PH042117000,ROSARIO,3.03,6.99,6.99,3.03,0,0,3.03,6.95,0.05,0
PH042118000,SILANG,0,0,0,0,0,0,0,0,0,0
PH042119000,TAGAYTAY CITY,0.1,0.03,0.03,0.1,0.1,0,0,0,0,0.03
PH042120000,TANZA,1.9,0.75,0.75,1.9,0,0,1.9,0.73,0.01,0.01
PH042121000,TERNATE,3.3,17.24,17.2,3.3,0.07,0,3.23,17.24,0,0
PH042122000,TRECE MARTIRES CITY (Capital),0,0.03,0.03,0,0,0,0,0,0,0.03
PH042123000,GEN. MARIANO ALVAREZ,0,0.02,0.02,0,0,0,0,0,0,0.02
PH043401000,ALAMINOS,0,0,0,0,0,0,0,0,0,0
PH043402000,BAY,0.04,0,0,0.04,0.04,0,0,0,0,0
PH043403000,CITY OF BIÃ‘AN,0,0,0,0,0,0,0,0,0,0
PH043404000,CABUYAO CITY,0.27,0,0,0.27,0,0,0.27,0,0,0
PH043405000,CITY OF CALAMBA,0.25,0.01,0.01,0.25,0.01,0,0.25,0,0,0.01
PH043406000,CALAUAN,0,0,0,0,0,0,0,0,0,0
PH043407000,CAVINTI,0,0,0,0,0,0,0,0,0,0
PH043408000,FAMY,0,0,0,0,0,0,0,0,0,0
PH043409000,KALAYAAN,0,0,0,0,0,0,0,0,0,0
PH043410000,LILIW,0,0,0,0,0,0,0,0,0,0
PH043411000,LOS BAÃ‘OS,0.09,0.01,0.01,0.09,0.09,0,0,0,0,0.01
PH043412000,LUISIANA,0,0,0,0,0,0,0,0,0,0
PH043413000,LUMBAN,0,0,0,0,0,0,0,0,0,0
PH043414000,MABITAC,0.08,0,0,0.08,0,0,0.08,0,0,0
PH043415000,MAGDALENA,0,0,0,0,0,0,0,0,0,0
PH043416000,MAJAYJAY,0,0,0,0,0,0,0,0,0,0
PH043417000,NAGCARLAN,0,0,0,0,0,0,0,0,0,0
PH043418000,PAETE,0,0,0,0,0,0,0,0,0,0
PH043419000,PAGSANJAN,0,0,0,0,0,0,0,0,0,0
PH043420000,PAKIL,1.36,0,0,1.36,0,0,1.36,0,0,0
PH043421000,PANGIL,0.06,0,0,0.06,0.06,0,0,0,0,0
PH043422000,PILA,0,0,0,0,0,0,0,0,0,0
PH043423000,RIZAL,0,0,0,0,0,0,0,0,0,0
PH043424000,SAN PABLO CITY,0,0,0,0,0,0,0,0,0,0
PH043425000,CITY OF SAN PEDRO,0,0.01,0.01,0,0,0,0,0,0,0.01
PH043426000,SANTA CRUZ (Capital),0.05,0,0,0.05,0,0,0.05,0,0,0
PH043427000,SANTA MARIA,0.03,0,0,0.03,0.03,0,0,0,0,0
PH043428000,CITY OF SANTA ROSA,0.03,0,0,0.03,0,0,0.03,0,0,0
PH043429000,SINILOAN,0,0,0,0,0,0,0,0,0,0
PH043430000,VICTORIA,0,0,0,0,0,0,0,0,0,0
PH045601000,AGDANGAN,3.53,2.77,2.77,3.53,0,0,3.53,2.67,0.1,0
PH045602000,ALABAT,3.78,15.33,15.3,3.78,0,0,3.78,15.33,0,0
PH045603000,ATIMONAN,2.98,3.48,3.48,2.98,0.37,0,2.61,3.48,0,0
PH045605000,BUENAVISTA,2,2.7,2.7,2,0.19,0,1.82,2.61,0,0.09
PH045606000,BURDEOS,4.67,9.33,9.33,4.67,0.24,0,4.42,9.33,0,0
PH045607000,CALAUAG,2.62,8.6,8.6,2.62,0,0,2.62,8.36,0.19,0.05
PH045608000,CANDELARIA,0.01,0,0,0.01,0.01,0,0,0,0,0
PH045610000,CATANAUAN,1.24,12.63,12.6,1.24,0.04,0,1.2,12.59,0,0.04
PH045615000,DOLORES,0.26,0.07,0.07,0.26,0.26,0,0,0,0,0.07
PH045616000,GENERAL LUNA,1.26,7.5,7.5,1.26,0.07,0,1.2,7.5,0,0
PH045617000,GENERAL NAKAR,4.44,4.73,4.73,4.44,2.1,0.03,2.3,4.69,0,0.03
PH045618000,GUINAYANGAN,2.09,1.69,1.69,2.09,0.06,0,2.03,1.67,0,0.03
PH045619000,GUMACA,3.07,7,7,3.07,0.03,0,3.04,6.95,0,0.05
PH045620000,INFANTA,2.68,33.19,33.1,2.68,0.13,0,2.55,32.81,0.39,0
PH045621000,JOMALIG,4.55,1.08,1.08,4.55,0,0,4.55,1.08,0,0
PH045622000,LOPEZ,2.76,4.52,4.52,2.76,0.02,0,2.74,4.46,0,0.06
PH045623000,LUCBAN,0,0.02,0.02,0,0,0,0,0,0,0.02
PH045624000,LUCENA CITY (Capital),1.58,3.08,3.08,1.58,0,0,1.58,3.07,0,0.01
PH045625000,MACALELON,3.67,7.98,7.98,3.67,0.12,0,3.55,7.92,0,0.06
PH045627000,MAUBAN,3.27,14.5,14.5,3.27,0.64,0,2.64,14.5,0,0
PH045628000,MULANAY,2.19,1.19,1.19,2.19,0.04,0,2.15,1.15,0,0.04
PH045629000,PADRE BURGOS,6.9,1.42,1.42,6.9,0.06,0,6.84,1.42,0,0
PH045630000,PAGBILAO,3.87,1.69,1.69,3.87,0.3,0,3.57,1.69,0,0
PH045631000,PANUKULAN,3.18,0.98,0.98,3.18,0,0,3.18,0.98,0,0
PH045632000,PATNANUNGAN,2.74,2.05,2.05,2.74,0,0,2.74,2.05,0,0
PH045633000,PEREZ,2.52,2.52,2.52,2.52,0,0,2.52,2.52,0,0
PH045634000,PITOGO,4.95,0.79,0.79,4.95,0,0,4.95,0.79,0,0
PH045635000,PLARIDEL,1.36,2.58,2.58,1.36,0.27,0,1.09,2.45,0,0.14
PH045636000,POLILLO,0.94,13.51,13.5,0.94,0,0,0.94,13.51,0,0
PH045637000,QUEZON,5.55,1.65,1.65,5.55,0,0,5.55,1.65,0,0
PH045638000,REAL,3.81,4.5,4.5,3.81,0.95,0,2.86,4.5,0,0
PH045639000,SAMPALOC,0.21,0.11,0.11,0.21,0.21,0,0,0,0,0.11
PH045640000,SAN ANDRES,7.06,0.53,0.53,7.06,0.21,0,6.85,0.48,0,0.05
PH045641000,SAN ANTONIO,0,0.03,0.03,0,0,0,0,0,0,0.03
PH045642000,SAN FRANCISCO (AURORA),2.82,3.91,3.91,2.82,0.19,0,2.63,3.91,0,0
PH045644000,SAN NARCISO,6.25,1.41,1.41,6.25,0.14,0,6.11,1.3,0,0.11
PH045645000,SARIAYA,0.67,1.07,1.07,0.67,0.02,0,0.66,1.07,0,0
PH045646000,TAGKAWAYAN,2.7,0.65,0.65,2.7,0.05,0,2.64,0.65,0,0
PH045647000,CITY OF TAYABAS,0,0,0,0,0,0,0,0,0,0
PH045648000,TIAONG,0.01,0,0,0.01,0.01,0,0,0,0,0
PH045649000,UNISAN,2.07,2.4,2.4,2.07,0,0,2.07,2.35,0,0.05
PH045801000,ANGONO,0.1,0,0,0.1,0.1,0,0,0,0,0
PH045802000,CITY OF ANTIPOLO,0.21,0.04,0.04,0.21,0.21,0,0,0,0,0.04
PH045803000,BARAS,0.11,0.06,0.06,0.11,0.11,0,0,0,0,0.06
PH045804000,BINANGONAN,0.28,0.01,0.01,0.28,0.28,0,0,0,0,0.01
PH045805000,CAINTA,0,0,0,0,0,0,0,0,0,0
PH045806000,CARDONA,0.66,0,0,0.66,0.66,0,0,0,0,0
PH045807000,JALA-JALA,0.21,0,0,0.21,0.21,0,0,0,0,0
PH045808000,RODRIGUEZ (MONTALBAN),0.61,0.01,0.01,0.61,0.6,0.01,0,0,0,0.01
PH045809000,MORONG,0,0,0,0,0,0,0,0,0,0
PH045810000,PILILLA,0.17,0.02,0.02,0.17,0.17,0,0,0,0,0.02
PH045811000,SAN MATEO,0.18,0.04,0.04,0.18,0.18,0,0,0,0,0.04
PH045812000,TANAY,0.45,0.03,0.03,0.45,0.45,0,0,0,0,0.03
PH045813000,TAYTAY,0.01,0.02,0.02,0.01,0.01,0,0,0,0,0.02
PH045814000,TERESA,0.14,0,0,0.14,0.14,0,0,0,0,0
PH050501000,BACACAY,0.61,0,0,0.61,0,0,0.61,0,0,0
PH050502000,CAMALIG,0,0,0,0,0,0,0,0,0,0
PH050503000,DARAGA (LOCSIN),0,0,0,0,0,0,0,0,0,0
PH050504000,GUINOBATAN,0,0,0,0,0,0,0,0,0,0
PH050505000,JOVELLAR,0,0,0,0,0,0,0,0,0,0
PH050506000,LEGAZPI CITY (Capital),0.29,0.06,0.06,0.29,0,0,0.29,0.06,0,0
PH050507000,LIBON,0.76,0.24,0.24,0.76,0,0,0.76,0.24,0,0
PH050508000,CITY OF LIGAO,0,0,0,0,0,0,0,0,0,0
PH050509000,MALILIPOT,0,0,0,0,0,0,0,0,0,0
PH050510000,MALINAO,0,0,0,0,0,0,0,0,0,0
PH050511000,MANITO,0,0,0,0,0,0,0,0,0,0
PH050512000,OAS,0,0,0,0,0,0,0,0,0,0
PH050513000,PIO DURAN,0.24,0,0,0.24,0,0,0.24,0,0,0
PH050514000,POLANGUI,0,0,0,0,0,0,0,0,0,0
PH050515000,RAPU-RAPU,5.29,1.3,1.3,5.29,0,0,5.29,1.3,0,0
PH050516000,SANTO DOMINGO (LIBOG),2.16,0,0,2.16,0,0,2.16,0,0,0
PH050517000,CITY OF TABACO,0,0,0,0,0,0,0,0,0,0
PH050518000,TIWI,0,0,0,0,0,0,0,0,0,0
PH051601000,BASUD,0,0,0,0,0,0,0,0,0,0
PH051602000,CAPALONGA,0,0,0,0,0,0,0,0,0,0
PH051603000,DAET (Capital),0.15,3.04,3.04,0.15,0,0,0.15,3.02,0.02,0
PH051604000,SAN LORENZO RUIZ (IMELDA),0,0,0,0,0,0,0,0,0,0
PH051605000,JOSE PANGANIBAN,0.04,0,0,0.04,0,0,0.04,0,0,0
PH051606000,LABO,0,0,0,0,0,0,0,0,0,0
PH051607000,MERCEDES,0,0,0,0,0,0,0,0,0,0
PH051608000,PARACALE,2.07,8.89,8.89,2.07,0,0,2.07,8.89,0,0
PH051609000,SAN VICENTE,0,0,0,0,0,0,0,0,0,0
PH051610000,SANTA ELENA,0.08,0.04,0.04,0.08,0.04,0,0.04,0,0,0.04
PH051611000,TALISAY,1.35,1.13,1.13,1.35,0,0,1.35,1.13,0,0
PH051612000,VINZONS,4.15,3.05,3.05,4.15,0,0,4.15,2.91,0.13,0
PH051701000,BAAO,0,0.05,0.05,0,0,0,0,0,0,0.05
PH051702000,BALATAN,5.18,0.71,0.71,5.18,0,0,5.18,0.57,0,0.14
PH051703000,BATO,0.97,0.03,0.03,0.97,0,0,0.97,0,0,0.03
PH051704000,BOMBON,5.11,0,0,5.11,0,0,5.11,0,0,0
PH051705000,BUHI,0.05,0,0,0.05,0.05,0,0,0,0,0
PH051706000,BULA,0.53,0,0,0.53,0,0,0.53,0,0,0
PH051707000,CABUSAO,2.61,41.84,41.8,2.61,0,0,2.61,41.84,0,0
PH051708000,CALABANGA,1.22,30.24,30.2,1.22,0,0,1.22,30.22,0.02,0
PH051709000,CAMALIGAN,0,0,0,0,0,0,0,0,0,0
PH051710000,CANAMAN,0,0,0,0,0,0,0,0,0,0
PH051711000,CARAMOAN,3.18,0.7,0.7,3.18,0,0,3.18,0.65,0,0.05
PH051712000,DEL GALLEGO,0,0,0,0,0,0,0,0,0,0
PH051713000,GAINZA,0,0,0,0,0,0,0,0,0,0
PH051714000,GARCHITORENA,4.17,4.71,4.71,4.17,0,0,4.17,4.71,0,0
PH051715000,GOA,0,0,0,0,0,0,0,0,0,0
PH051716000,IRIGA CITY,0,0,0,0,0,0,0,0,0,0
PH051717000,LAGONOY,1.54,0.39,0.39,1.54,0,0.04,1.51,0.36,0.04,0
PH051718000,LIBMANAN,0.73,0.22,0.22,0.73,0.03,0,0.7,0.19,0.03,0
PH051719000,LUPI,0.19,0.13,0.13,0.19,0,0,0.19,0.13,0,0
PH051720000,MAGARAO,0.67,0,0,0.67,0,0,0.67,0,0,0
PH051721000,MILAOR,0,0,0,0,0,0,0,0,0,0
PH051722000,MINALABAC,1.1,0.03,0.03,1.1,0,0,1.1,0,0,0.03
PH051723000,NABUA,0,0,0,0,0,0,0,0,0,0
PH051724000,NAGA CITY,0,0.01,0.01,0,0,0,0,0,0,0.01
PH051725000,OCAMPO,0,0,0,0,0,0,0,0,0,0
PH051726000,PAMPLONA,0,0,0,0,0,0,0,0,0,0
PH051727000,PASACAO,4.62,1.15,1.15,4.63,0.24,0.04,4.34,1.1,0,0.05
PH051728000,PILI (Capital),0,0,0,0,0,0,0,0,0,0
PH051729000,PRESENTACION (PARUBCAN),9.59,0.5,0.5,9.59,0.5,0,9.09,0.5,0,0
PH051730000,RAGAY,2.23,18.02,18,2.23,0,0,2.23,17.99,0,0.02
PH051731000,SAGÃ‘AY,2.91,0.53,0.53,2.91,0,0,2.91,0.42,0,0.11
PH051732000,SAN FERNANDO,1.1,0.06,0.06,1.1,0,0,1.1,0.06,0,0
PH051733000,SAN JOSE,2.24,0.14,0.14,2.24,0,0,2.24,0.14,0,0
PH051734000,SIPOCOT,0.65,1.76,1.76,0.65,0,0,0.65,1.76,0,0
PH051735000,SIRUMA,4.8,0.63,0.63,4.8,0,0,4.8,0.63,0,0
PH051736000,TIGAON,0.26,0.08,0.08,0.26,0.04,0,0.23,0.08,0,0
PH051737000,TINAMBAC,2.56,0.61,0.61,2.56,0.03,0,2.53,0.57,0.03,0
PH052001000,BAGAMANOC,4.26,5.86,5.86,4.26,1.42,0,2.84,5.86,0,0
PH052002000,BARAS,5.76,1.26,1.26,5.76,1.44,0,4.32,1.26,0,0
PH052003000,BATO,6.14,2.5,2.5,6.14,1.14,0,5,2.5,0,0
PH052004000,CARAMORAN,5.86,1.25,1.25,5.86,1.66,0,4.2,1.25,0,0
PH052005000,GIGMOTO,7.3,2.06,2.06,7.3,3.33,0,3.97,2.06,0,0
PH052006000,PANDAN,3.97,13.01,13,3.97,0.79,0,3.17,13.01,0,0
PH052007000,PANGANIBAN (PAYO),2.34,24.58,24.5,2.34,0.17,0,2.17,24.58,0,0
PH052008000,SAN ANDRES (CALOLBON),3.9,11.17,11.1,3.9,1.57,0,2.32,11.17,0,0
PH052009000,SAN MIGUEL,3.45,0,0,3.45,3.45,0,0,0,0,0
PH052010000,VIGA,5.94,1.17,1.17,5.94,1.49,0,4.46,1.17,0,0
PH052011000,VIRAC (Capital),1.05,10.84,10.8,1.05,0.42,0,0.63,10.84,0,0
PH054101000,AROROY,3.1,3.37,3.37,3.1,0.27,0.02,2.8,3.37,0,0
PH054102000,BALENO,1.65,0.38,0.38,1.65,0,0,1.65,0.38,0,0
PH054103000,BALUD,0,0,0,0,0,0,0,0,0,0
PH054104000,BATUAN,3.52,1.32,1.32,3.52,0,0,3.52,1.32,0,0
PH054105000,CATAINGAN,0.03,0,0,0.03,0.03,0,0,0,0,0
PH054106000,CAWAYAN,0,0,0,0,0,0,0,0,0,0
PH054107000,CLAVERIA,3.98,1.8,1.8,3.98,0,0,3.98,1.8,0,0
PH054108000,DIMASALANG,0,0,0,0,0,0,0,0,0,0
PH054109000,ESPERANZA,0,0,0,0,0,0,0,0,0,0
PH054110000,MANDAON,0.28,0,0,0.28,0.24,0.03,0,0,0,0
PH054111000,CITY OF MASBATE (Capital),1.46,0.07,0.07,1.46,0.07,0,1.39,0.07,0,0
PH054112000,MILAGROS,0.08,0,0,0.08,0.08,0,0,0,0,0
PH054113000,MOBO,0.04,0,0,0.04,0.04,0,0,0,0,0
PH054114000,MONREAL,0,0,0,0,0,0,0,0,0,0
PH054115000,PALANAS,0.09,0,0,0.09,0.09,0,0,0,0,0
PH054116000,PIO V. CORPUZ (LIMBUHAN),0,0,0,0,0,0,0,0,0,0
PH054117000,PLACER,0,0,0,0,0,0,0,0,0,0
PH054118000,SAN FERNANDO,1.64,15.7,15.7,1.64,0.07,0,1.57,15.7,0,0
PH054119000,SAN JACINTO,0.22,0.05,0.05,0.22,0,0,0.22,0,0.05,0
PH054120000,SAN PASCUAL,2.23,0.33,0.33,2.23,0.03,0,2.2,0.33,0,0
PH054121000,USON,0,0,0,0,0,0,0,0,0,0
PH056202000,BARCELONA,1.93,12.92,12.9,1.93,0,0,1.93,12.92,0,0
PH056203000,BULAN,1.2,28.33,28.3,1.2,0.05,0,1.15,28.33,0,0
PH056204000,BULUSAN,5.65,0.46,0.46,5.65,0.35,0,5.31,0.46,0,0
PH056205000,CASIGURAN,3.7,4.03,4.03,3.7,0,0,3.7,4.03,0,0
PH056206000,CASTILLA,1.39,0.07,0.07,1.39,0.07,0,1.31,0.07,0,0
PH056207000,DONSOL,1.65,18.26,18.2,1.65,0.1,0.03,1.52,18.26,0,0
PH056208000,GUBAT,1.11,21.23,21.2,1.11,0,0,1.11,21.2,0.03,0
PH056209000,IROSIN,0.25,0,0,0.25,0.25,0,0,0,0,0
PH056210000,JUBAN,2.72,6.44,6.44,2.72,0.45,0,2.26,6.44,0,0
PH056211000,MAGALLANES,3.15,9.2,9.2,3.15,0,0,3.15,9.2,0,0
PH056212000,MATNOG,1.62,4.64,4.64,1.62,0.11,0,1.51,4.64,0,0
PH056213000,PILAR,1.82,4.25,4.25,1.82,0.04,0,1.78,4.25,0,0
PH056214000,PRIETO DIAZ,6.1,3.54,3.54,6.1,0,0,6.1,3.45,0.09,0
PH056215000,SANTA MAGDALENA,4.23,7.22,7.22,4.23,0,0,4.23,7.22,0,0
PH056216000,CITY OF SORSOGON (Capital),3.09,2.63,2.63,3.09,0.16,0,2.93,2.63,0,0
PH060401000,ALTAVAS,0,0,0,0,0,0,0,0,0,0
PH060402000,BALETE,0,0,0,0,0,0,0,0,0,0
PH060403000,BANGA,0,0,0,0,0,0,0,0,0,0
PH060404000,BATAN,0,0,0,0,0,0,0,0,0,0
PH060405000,BURUANGA,0,0,0,0,0,0,0,0,0,0
PH060406000,IBAJAY,0,0,0,0,0,0,0,0,0,0
PH060407000,KALIBO (Capital),0,0,0,0,0,0,0,0,0,0
PH060408000,LEZO,0,0,0,0,0,0,0,0,0,0
PH060409000,LIBACAO,0,0,0,0,0,0,0,0,0,0
PH060410000,MADALAG,0,0,0,0,0,0,0,0,0,0
PH060411000,MAKATO,0,0,0,0,0,0,0,0,0,0
PH060412000,MALAY,0,0,0,0,0,0,0,0,0,0
PH060413000,MALINAO,0,0,0,0,0,0,0,0,0,0
PH060414000,NABAS,0,0,0,0,0,0,0,0,0,0
PH060415000,NEW WASHINGTON,0.08,0,0,0.08,0,0,0.08,0,0,0
PH060416000,NUMANCIA,0,0,0,0,0,0,0,0,0,0
PH060417000,TANGALAN,0,0,0,0,0,0,0,0,0,0
PH060601000,ANINI-Y,1.42,0,0,1.42,0,0,1.42,0,0,0
PH060602000,BARBAZA,0,0,0,0,0,0,0,0,0,0
PH060603000,BELISON,0,0,0,0,0,0,0,0,0,0
PH060604000,BUGASONG,0,0,0,0,0,0,0,0,0,0
PH060605000,CALUYA,0,0,0,0,0,0,0,0,0,0
PH060606000,CULASI,0.6,0.05,0.05,0.6,0,0,0.6,0.05,0,0
PH060607000,TOBIAS FORNIER (DAO),0,0,0,0,0,0,0,0,0,0
PH060608000,HAMTIC,0,0,0,0,0,0,0,0,0,0
PH060609000,LAUA-AN,0,0,0,0,0,0,0,0,0,0
PH060610000,LIBERTAD,0,0,0,0,0,0,0,0,0,0
PH060611000,PANDAN,0,0,0,0,0,0,0,0,0,0
PH060612000,PATNONGON,0,0,0,0,0,0,0,0,0,0
PH060613000,SAN JOSE (Capital),0,0,0,0,0,0,0,0,0,0
PH060614000,SAN REMIGIO,0,0,0,0,0,0,0,0,0,0
PH060615000,SEBASTE,0,0,0,0,0,0,0,0,0,0
PH060616000,SIBALOM,0.07,0,0,0.07,0.07,0,0,0,0,0
PH060617000,TIBIAO,0,0,0,0,0,0,0,0,0,0
PH060618000,VALDERRAMA,0,0,0,0,0,0,0,0,0,0
PH061901000,CUARTERO,0,0,0,0,0,0,0,0,0,0
PH061902000,DAO,0,0,0,0,0,0,0,0,0,0
PH061903000,DUMALAG,0,0,0,0,0,0,0,0,0,0
PH061904000,DUMARAO,0,0,0,0,0,0,0,0,0,0
PH061905000,IVISAN,0,0,0,0,0,0,0,0,0,0
PH061906000,JAMINDAN,0,0,0,0,0,0,0,0,0,0
PH061907000,MA-AYON,0,0,0,0,0,0,0,0,0,0
PH061908000,MAMBUSAO,0,0,0,0,0,0,0,0,0,0
PH061909000,PANAY,0,0,0,0,0,0,0,0,0,0
PH061910000,PANITAN,0,0,0,0,0,0,0,0,0,0
PH061911000,PILAR,0,0,0,0,0,0,0,0,0,0
PH061912000,PONTEVEDRA,0,0,0,0,0,0,0,0,0,0
PH061913000,PRESIDENT ROXAS,0,0,0,0,0,0,0,0,0,0
PH061914000,ROXAS CITY (Capital),0,0,0,0,0,0,0,0,0,0
PH061915000,SAPI-AN,0,0,0,0,0,0,0,0,0,0
PH061916000,SIGMA,0,0,0,0,0,0,0,0,0,0
PH061917000,TAPAZ,0,0,0,0,0,0,0,0,0,0
PH063001000,AJUY,0.23,0,0,0.23,0.23,0,0,0,0,0
PH063002000,ALIMODIAN,0.53,0,0,0.53,0.53,0,0,0,0,0
PH063003000,ANILAO,0.34,0,0,0.34,0.34,0,0,0,0,0
PH063004000,BADIANGAN,0.07,0,0,0.07,0.07,0,0,0,0,0
PH063005000,BALASAN,0.05,0,0,0.05,0.05,0,0,0,0,0
PH063006000,BANATE,0.04,0,0,0.03,0.04,0,0,0,0,0
PH063007000,BAROTAC NUEVO,0,0,0,0,0,0,0,0,0,0
PH063008000,BAROTAC VIEJO,0.26,0,0,0.26,0.26,0,0,0,0,0
PH063009000,BATAD,0.1,0,0,0.1,0.1,0,0,0,0,0
PH063010000,BINGAWAN,0,0,0,0,0,0,0,0,0,0
PH063012000,CABATUAN,0,0,0,0,0,0,0,0,0,0
PH063013000,CALINOG,0.16,0,0,0.16,0.16,0,0,0,0,0
PH063014000,CARLES,1.58,0.21,0.21,1.58,0.21,0,1.37,0.21,0,0
PH063015000,CONCEPCION,0.82,0,0,0.82,0.77,0,0.05,0,0,0
